Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
United Kingdom,GBR,18610,19430,21530,21400,21930,21120,22750,25490,26920,28110,29390,29010,29140,32250,37810,42700,44800,47360,48430,44170,41900,41180,41810,42800,44590,44480,43150,41740,42180,43380,38590,44790,48890
United States,USA,24060,24270,25680,26390,27650,29040,30270,31270,32030,33680,35960,36700,37310,39750,43510,46180,47830,48500,49100,47870,49150,50620,52790,53990,55800,56620,57140,59220,63460,66130,64650,70900,76370
Uruguay,URY,2840,3180,3840,4360,5050,5560,6200,7030,7310,7340,7120,6550,5170,4260,4140,4730,5410,6450,7850,9040,10820,12600,14080,16310,16960,16900,16320,16550,17510,18170,16080,16150,18030
Uzbekistan,UZB,..,..,600,590,570,580,600,610,620,650,630,560,450,420,460,530,610,770,980,1150,1410,1730,2160,2430,2600,2740,2790,2470,2120,1880,1770,1980,2190
Vanuatu,VUT,1200,1090,1120,1130,1190,1220,1310,1360,1410,1390,1370,1320,1180,1310,1530,1710,1920,2020,2360,2430,2510,2710,2750,2930,2930,2770,2780,2860,3120,3590,3250,3420,3560
"Venezuela, RB",VEN,2650,2680,2850,2830,2720,3020,3080,3440,3390,3540,4080,4560,3950,3460,4070,4930,6070,7550,9300,10270,11690,11890,12660,11950,13010,..,..,..,..,..,..,..,..
Vietnam,VNM,130,110,130,160,190,250,300,340,350,360,380,400,420,470,540,640,730,840,990,1120,1370,1630,1980,2200,2400,2480,2580,2720,3060,3340,3450,3590,4010
Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,..,..,..,..,..,..,1470,1630,1780,1800,1550,1370,1190,1370,1640,1780,1710,1790,2040,2250,2510,2880,3210,3470,3560,3670,3900,3930,4190,4270,3700,4270,4610
"Yemen, Rep.",YEM,..,..,460,420,350,290,280,310,350,360,400,450,490,510,580,660,760,840,950,1030,1130,1010,1180,1340,1360,1110,1070,1000,840,..,..,..,..
Zambia,ZMB,450,410,380,390,370,400,420,420,370,370,350,360,380,420,480,580,730,910,1180,1270,1330,1390,1660,1720,1760,1540,1340,1270,1400,1390,1130,1030,1170
Zimbabwe,ZWE,740,700,550,510,490,470,560,520,410,400,360,390,370,340,320,330,290,250,130,440,650,950,1120,1200,1210,1220,1200,1170,1550,1450,1460,1530,1500
World,WLD,4243.857943,4357.343582,4664.593528,4750.583875,4939.853213,5242.531377,5498.836998,5545.762405,5308.622287,5313.810347,5495.747153,5471.185948,5425.879328,5820.401926,6632.945851,7345.689834,7831.063825,8344.538395,8942.849712,8978.427929,9413.579635,9882.175165,10463.50131,10831.59054,10944.85005,10586.9421,10332.09866,10411.69641,11099.90661,11504.67981,11051.65291,12054.77367,12803.87215
